Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
Leslie N. Shaw Park,"2250 West Jefferson Blvd. Los Angeles, CA 90018",10,,x,,1,,,,,
Lexington Park ,"5523 Lexington Avenue Los Angeles, CA 90038",13,,x,,1,,,,,
Libbit Park ,"5101 Libbit Ave. Encino, CA 91436",4,,x,,,1,,,,
Lincoln Heights Recreation Center ,"2303 Workman Street Los Angeles, CA 90033",1,,,x,1,1,5,4,,
Lincoln Heights Senior Citizen Center ,"2323 Workman Street Los Angeles, CA 90031",1,,,x,1,,3,,,
Lincoln Heights Youth Center ,"2911 Altura Street Los Angeles, CA 90031",1,,,x,4,,3,,4,
Lincoln Park Recreation Center ,"3501 Valley Blvd. Los Angeles, CA 90031",14,,,x,6,1,40,,,
St. Andrews Recreation Center ,"8701 St Andrews Place Los Angeles, CA 90047",8,,,x,5,2,5,,,
Little Landers Park ,"10110 Commerce Ave. Tujunga, CA 91042",7,,,x,1,,2,,,
Van Ness Pool ,"5720 2nd Avenue Los Angeles, CA 90043",8,,x,,,2,,,,
Los Angeles Maritime Museum ,"Berth 84 San Pedro, CA 90731",15,x,,,,,3,2,,
Los Angeles River & Aliso Creek Confluence Park ,"Kittridge St &, Archwood St, Reseda, CA 91335",3,,x,,1,,,,,
Los Angeles Riverfront Greenway ,"14900 Valleyheart Drive Sherman Oaks, CA 91403",4,,x,,1,,,,,
Louise Park ,"7140 Louise Ave Van Nuys, CA 91406",6,,,x,1,1,2,2,,
Lummis Home ,"200 East Avenue 43 Los Angeles, CA 90031",1,,,x,1,,2,2,,
MacArthur Park Community Center ,"2230 West 6th Street Los Angeles, CA 90057",1,,,x,3,4,9,1,,
Madison Avenue Park ,"1165 Madison Avenue Los Angeles, CA 90004",13,,x,,,1,,,,
Madison West Park ,"464 North Madison Avenue Los Angeles, CA 90004",13,,x,,1,,,,,
Mae Boyar Park ,"23751 E Ingomar Ave West Hills, CA 91304",12,,x,,1,,,,,
Mar Vista Recreation Center ,"11439 Woodbine Ave Los Angeles, CA 90066",11,,,x,7,1,8,4,,
Marson Street Pocket Park ,"15262 Marson Street Panorama City, CA 91402",6,,x,,1,,,,,
Van Ness Recreation Center,"5720 2nd Avenue Los Angeles, CA 90043",8,,,x,4,1,6,2,,
Mason Child Care Center ,"10520 Mason Ave Chatsworth, CA 91311",12,,,x,4,,3,,,
Mason Recreation Center ,"10500 Mason Ave Chatsworth, CA 91311",12,,,x,5,1,6,,,
McGroarty Park ,"7570 McGroarty Terrace Tujunga, CA 91042",7,,,x,2,,2,,,
McKinley Avenue Park ,"4916 South McKinley Avenue Los Angeles, CA 90011 ",9,,x,,1,,,,,
Merry-Go-Round Griffith Park ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,1,,2,,,
Mineral Wells ,"Griffith Park Drive Los Angeles, CA 90027",4,,,x,1,,2,,,
Montecillo De Leo Politi Park (Elysian Park),"Scott Avenue and Academy Road Los Angeles, CA 90012",13,,,x,2,,4,,,
Montecito Heights Recreation Center ,"4545 Homer Street Los Angeles, CA 90031 ",1,,,x,4,,4,,1,
Montecito Heights Senior Citizen Center ,"4545 Homer Street Los Angeles, CA 90031 ",1,,,x,1,,2,,,
Moorpark Park ,"12061 Moorpark Street Studio City, CA 91604",4,,x,,2,,,,,
